,trial_id,country_name,recruitment_status,country_iso3
3210,1021,Portugal,"Ongoing, recruitment ended",PRT
3211,1021,Denmark,"Ongoing, recruitment ended",DNK
3212,1021,France,"Ongoing, recruitment ended",FRA
3213,1021,Austria,"Ongoing, recruitment ended",AUT
3214,1021,Italy,"Ongoing, recruitment ended",ITA
3215,1021,Spain,"Ongoing, recruitment ended",ESP
3216,1022,Spain,"Ongoing, recruiting",ESP
3217,1023,Denmark,"Ongoing, recruiting",DNK
3218,1024,Poland,Ended,POL
3219,1024,Spain,Ended,ESP
3220,1024,Czechia,Ended,CZE
3221,1024,Italy,Ended,ITA
3222,1024,Greece,Ended,GRC
3223,1024,Romania,Ended,ROU
3224,1024,Germany,Ended,DEU
3225,1025,France,"Ongoing, recruiting",FRA
3226,1025,Lithuania,"Authorised, recruitment pending",LTU
3227,1025,Norway,"Authorised, recruitment pending",NOR
3228,1025,Finland,"Authorised, recruitment pending",FIN
3229,1025,Spain,"Authorised, recruitment pending",ESP
3230,1025,Italy,"Ongoing, recruiting",ITA
3231,1025,Czechia,"Authorised, recruitment pending",CZE
3232,1025,Germany,"Authorised, recruitment pending",DEU
3233,1025,Hungary,"Authorised, recruitment pending",HUN
3234,1025,Slovakia,"Authorised, recruitment pending",SVK
3235,1025,Denmark,"Authorised, recruitment pending",DNK
3236,1025,Austria,"Authorised, recruitment pending",AUT
3237,1025,Netherlands,"Authorised, recruitment pending",NLD
