,projectID,title,category,coordinator_name,coordinator_country,coordinator_activity_type,status,totalCostProj,project_start_year,project_end_year,opportunity_tier_cordis
60,637424,Individualised and self-adapting sound processing for cochlear implants,Diagnostics / Biomarkers,KATHOLIEKE UNIVERSITEIT LEUVEN,Belgium,HES,CLOSED,1734360.0,2015,2021,Not applicable
61,637456,Elucidation of the evolution of post-transcriptional regulation by characterizing the cnidarian microRNA pathway,Genomics / Molecular Biology,THE HEBREW UNIVERSITY OF JERUSALEM,Israel,HES,CLOSED,1499587.0,2015,2020,Not applicable
62,637476,High-resolution microscopy without lenses: a new generation of imaging technology,Diagnostics / Biomarkers,STICHTING VU,Netherlands,HES,CLOSED,1500000.0,2015,2020,Not applicable
63,637530,Safeguarding Cell Identities: Mechanisms Counteracting Cell Fate Reprogramming,Genomics / Molecular Biology,MAX DELBRUECK CENTRUM FUER MOLEKULARE MEDIZIN IN DER HELMHOLTZ-GEMEINSCHAFT (MDC),Germany,REC,CLOSED,1457938.0,2015,2021,Not applicable
64,637579,Autonomous Cellular Computers for Diagnosis,Diagnostics / Biomarkers,INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE,France,REC,CLOSED,1500000.0,2015,2021,Not applicable
65,637591,Functions and evolutionary impact of transcriptomic novelties in the vertebrate brain,Genomics / Molecular Biology,FUNDACIO CENTRE DE REGULACIO GENOMICA,Spain,REC,CLOSED,1498852.0,2015,2020,Not applicable
66,637649,Deciphering and reversing the consequences of mitochondrial DNA damage,Genomics / Molecular Biology,HELSINGIN YLIOPISTO,Finland,HES,CLOSED,1497160.0,2015,2020,Not applicable
67,637752,Biochemically modified messenger RNA encoding nucleases for in vivo gene correction of severe inherited lung diseases,Genomics / Molecular Biology,EBERHARD KARLS UNIVERSITAET TUEBINGEN,Germany,HES,CLOSED,1497125.0,2015,2020,Not applicable
68,637763,Molecular basis of the cross-talk between chronic inflammation and cancer,Genomics / Molecular Biology,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,France,REC,CLOSED,1500000.0,2015,2021,Not applicable
69,637756,Steering attosecond electron dynamics in biomolecules with UV-XUV LIGHT pulses,Genomics / Molecular Biology,DEUTSCHES ELEKTRONEN-SYNCHROTRON DESY,Germany,REC,CLOSED,1497000.0,2015,2020,Not applicable
70,637776,Algal Lipids: the Key to Earth Now and aNcient Earth,Diagnostics / Biomarkers,UNIVERSITY OF GLASGOW,United Kingdom,HES,CLOSED,940883.0,2015,2021,Not applicable
71,637798,Metabolism of DNA secondary structures and their impact on genome stability,Genomics / Molecular Biology,IMPERIAL COLLEGE OF SCIENCE TECHNOLOGY AND MEDICINE,United Kingdom,HES,CLOSED,1638041.0,2015,2021,Not applicable
72,637877,Nanomethods to understand what makes an endogenous protein immunogenic,Pharma / Biotech,UNIVERSITAET GREIFSWALD,Germany,HES,CLOSED,1491250.0,2015,2020,Not applicable
73,637904,Molecular characterization of the role of intra-tumor heterogeneity in cancer progression and metastasis,Genomics / Molecular Biology,UNIVERSIDAD DE CANTABRIA,Spain,HES,CLOSED,1498850.0,2015,2020,Not applicable
74,637971,"Mechanistic and functional studies of Bacillus biofilms assembly on plants, and their impact in sustainable agriculture and food safety",Proteomics / Multi-omics,UNIVERSIDAD DE MALAGA,Spain,HES,CLOSED,1453562.5,2015,2021,Not applicable
75,637987,Single Molecule Mechanisms of Spatio-Temporal Chromatin Architecture,Genomics / Molecular Biology,UNIVERSITAET ULM,Germany,HES,CLOSED,1486578.0,2015,2021,Not applicable
76,638028,Epistasis analysis of angiogenes with high cellular definition,Oncology,CENTRO NACIONAL DE INVESTIGACIONES CARDIOVASCULARES CARLOS III (F.S.P.),Spain,REC,CLOSED,1481375.0,2015,2020,Not applicable
77,638145,Hematopoietic stem cell Apoptosis in bone marrow failure and MyeloDysplastic Syndromes: Friend or foe?,Genomics / Molecular Biology,UNIVERSITAETSKLINIKUM FREIBURG,Germany,HES,CLOSED,1372525.0,2015,2020,Not applicable
78,638193,Molecular Subtype Specific Stem Cell Dynamics in Developing and Established Colorectal Cancers,Oncology,ACADEMISCH MEDISCH CENTRUM BIJ DE UNIVERSITEIT VAN AMSTERDAM,Netherlands,HES,CLOSED,1499875.0,2015,2021,Not applicable
79,638197,Origin and Protection of Unstable Repetitive DNA Elements During Sexual Reproduction,Genomics / Molecular Biology,MAX-PLANCK-GESELLSCHAFT ZUR FORDERUNG DER WISSENSCHAFTEN EV,Germany,REC,CLOSED,1500000.0,2015,2020,Not applicable
80,638258,Next Generation Label-free Chemical Nanoscopy for Biomedical Applications,Diagnostics / Biomarkers,UNIVERSITY OF SOUTHAMPTON,United Kingdom,HES,CLOSED,1916076.0,2015,2020,Not applicable
81,638271,The design and development of efficient biocatalytic cascades and biosynthetic pathways for the sustainable production of amines,Genomics / Molecular Biology,UNIVERSITEIT VAN AMSTERDAM,Netherlands,HES,CLOSED,1497270.0,2015,2020,Not applicable
82,638273,A systematic characterization of human regulatory architectures and their determinants of regulatory activity,Genomics / Molecular Biology,KOBENHAVNS UNIVERSITET,Denmark,HES,CLOSED,1436292.5,2015,2021,Not applicable
83,638284,Is your heart aging well? A systems biology approach to characterize cardiac aging from the cell to the body surface,Cell / Advanced Therapies,UNIVERSIDAD DE ZARAGOZA,Spain,HES,CLOSED,1498636.0,2015,2021,Not applicable
84,638425,Enhanced Qualitative and Multi-Method Research in Political Science,Diagnostics / Biomarkers,UNIVERSITAT ZU KOLN,Germany,HES,CLOSED,1125575.0,2015,2020,Not applicable
85,638428,Robot-Assisted Flexible Needle Steering for Targeted Delivery of Magnetic Agents,Diagnostics / Biomarkers,UNIVERSITEIT TWENTE,Netherlands,HES,CLOSED,1500000.0,2015,2020,Not applicable
